,Date_,Australian Dollar,Chinese Yuan,Euro,Japanese Yen,Brazilian Real,Korean Won,U.K. Pound Sterling
59,2001-03,0.5037619047619046,8.277531818181817,0.5037619047619046,0.5037619047619046,0.5037619047619046,0.5037619047619046,1.4451727272727273
60,2001-04,0.5002222222222223,8.277100000000003,0.5002222222222223,0.5002222222222223,0.5002222222222223,0.5002222222222223,1.434785714285714
61,2001-05,0.5200636363636362,8.277250000000002,0.5200636363636362,0.5200636363636362,0.5200636363636362,0.5200636363636362,1.4252238095238094
62,2001-06,0.517945,8.277038095238098,0.517945,0.517945,0.517945,0.517945,1.401190476190476
63,2001-07,0.5097142857142858,8.276890476190477,0.5097142857142858,0.5097142857142858,0.5097142857142858,0.5097142857142858,1.414352380952381
64,2001-08,0.5251045454545455,8.276969565217392,0.5251045454545455,0.5251045454545455,0.5251045454545455,0.5251045454545455,1.4370136363636368
65,2001-09,0.5051736842105262,8.27681052631579,0.5051736842105262,0.5051736842105262,0.5051736842105262,0.5051736842105262,1.4630473684210525
66,2001-10,0.505395238095238,8.276809090909092,0.505395238095238,0.505395238095238,0.505395238095238,0.505395238095238,1.4505636363636363
67,2001-11,0.5172764705882352,8.27685789473684,0.5172764705882352,0.5172764705882352,0.5172764705882352,0.5172764705882352,1.4396473684210527
68,2001-12,0.514925,8.276872222222224,0.514925,0.514925,0.514925,0.514925,1.438935294117647
69,2002-01,0.5168666666666666,8.276663636363637,0.5168666666666666,0.5168666666666666,0.5168666666666666,0.5168666666666666,1.4323727272727274
70,2002-02,0.5128333333333333,8.276672222222222,0.5128333333333333,0.5128333333333333,0.5128333333333333,0.5128333333333333,1.4219777777777778
71,2002-03,0.524335,8.277076190476192,0.524335,0.524335,0.524335,0.524335,1.4223850000000002
72,2002-04,0.5353950000000001,8.277195454545454,0.5353950000000001,0.5353950000000001,0.5353950000000001,0.5353950000000001,1.4425999999999999
73,2002-05,0.5486809523809525,8.276990909090909,0.5486809523809525,0.5486809523809525,0.5486809523809525,0.5486809523809525,1.4594952380952377
74,2002-06,0.5694000000000001,8.277044999999998,0.5694000000000001,0.5694000000000001,0.5694000000000001,0.5694000000000001,1.4864166666666663
75,2002-07,0.5542181818181818,8.276795454545457,0.5542181818181818,0.5542181818181818,0.5542181818181818,0.5542181818181818,1.5548863636363635
76,2002-08,0.541615,8.276714285714286,0.541615,0.541615,0.541615,0.541615,1.5353761904761904
77,2002-09,0.5467833333333334,8.276969999999997,0.5467833333333334,0.5467833333333334,0.5467833333333334,0.5467833333333334,1.555215
78,2002-10,0.5500999999999999,8.277004545454544,0.5500999999999999,0.5500999999999999,0.5500999999999999,0.5500999999999999,1.557027272727273
79,2002-11,0.5613421052631579,8.277136842105262,0.5613421052631579,0.5613421052631579,0.5613421052631579,0.5613421052631579,1.574075789473684
80,2002-12,0.5630999999999999,8.27724,0.5630999999999999,0.5630999999999999,0.5630999999999999,0.5630999999999999,1.5851149999999996
81,2003-01,0.5817631578947368,8.276814285714288,0.5817631578947368,0.5817631578947368,0.5817631578947368,0.5817631578947368,1.6167999999999998
82,2003-02,0.5945058823529412,8.277261111111113,0.5945058823529412,0.5945058823529412,0.5945058823529412,0.5945058823529412,1.6111111111111112
83,2003-03,0.6023238095238094,8.277219047619047,0.6023238095238094,0.6023238095238094,0.6023238095238094,0.6023238095238094,1.5829095238095237
84,2003-04,0.6090263157894736,8.277131818181815,0.6090263157894736,0.6090263157894736,0.6090263157894736,0.6090263157894736,1.5742349999999998
85,2003-05,0.6464380952380954,8.276914285714284,0.6464380952380954,0.6464380952380954,0.6464380952380954,0.6464380952380954,1.6221238095238097
86,2003-06,0.664255,8.277066666666666,0.664255,0.664255,0.664255,0.664255,1.660609523809524
87,2003-07,0.6612727272727272,8.277218181818181,0.6612727272727272,0.6612727272727272,0.6612727272727272,0.6612727272727272,1.6230318181818182
88,2003-08,0.6511799999999999,8.277014285714285,0.6511799999999999,0.6511799999999999,0.6511799999999999,0.6511799999999999,1.5931666666666666
89,2003-09,0.6617299999999999,8.277134999999998,0.6617299999999999,0.6617299999999999,0.6617299999999999,0.6617299999999999,1.6121100000000002
90,2003-10,0.6942333333333331,8.276777272727275,0.6942333333333331,0.6942333333333331,0.6942333333333331,0.6942333333333331,1.6770909090909092
91,2003-11,0.7151555555555558,8.276905555555556,0.7151555555555558,0.7151555555555558,0.7151555555555558,0.7151555555555558,1.685877777777778
92,2003-12,0.7383238095238095,8.277000000000003,0.7383238095238095,0.7383238095238095,0.7383238095238095,0.7383238095238095,1.7495333333333334
